"sample_id","captured_at_utc","host_label","platform","backend","probe_succeeded","adapter_name","vendor_id","device_id","subsystem_id","driver_version","software_adapter","feature_level","gl_vendor","gl_renderer","gl_version","native_path_allowed","startup_disabled","disable_rule","hard_blocker_rule","quirk_rule","hdr_probe_succeeded","hdr_output_found","hdr_color_space","hdr_advanced_color_active","hdr_active","notes"
"local-win-gtx1080-OpenGL-20260326T052216Z","2026-03-26T05:22:16Z","local-win-gtx1080","Windows","OpenGL","true","NVIDIA GeForce GTX 1080","0x10DE","0x1B80","","32.0.15.6094","false","11_1","NVIDIA Corporation","NVIDIA GeForce GTX 1080/PCIe/SSE2","4.6.0 NVIDIA 560.94","true","false","none","none","none","true","false","unknown","false","false","Local Windows validation sample after CP-801 and Phase-9 closure"
"local-win-gtx1080-D3D11-20260326T052216Z","2026-03-26T05:22:16Z","local-win-gtx1080","Windows","D3D11","true","NVIDIA GeForce GTX 1080","0x10DE","0x1B80","0x145119DA","32.0.15.6094","false","11_1","","","","true","false","none","","","true","false","unknown","false","false","Local Windows validation sample after CP-801 and Phase-9 closure"
